"","AKT1","AKT2","AKT3","PIK3CA","PIK3CB","PIK3CD","PIK3R1","PIK3R2","FOXO1A","FOXO3A","MLLT7","PIK3CG","PDPK1","IRS1","SRC","GAB1","PTEN","IGF1R","PDGFRA","PDGFRB","EGFR","ERBB2","ERBB3","FGFR1","FGFR2","MET","NRAS","HRAS","KRAS","ARAF","BRAF","RAF1","GRB2","NF1","CBL","SPRY2","CDKN2A","CDKN2C","CDKN2B","CCND1","CCND2","CDK4","CDK6","RB1","MDM2","MDM4","TP53","PIK3C2B"
"TCGA-02-2466",6.57578400314067,3.81665938389076,4.25063064674264,7.13279936046946,4.5798135645929,4.95452168705912,8.63786979745477,6.08960726647183,8.01884113201048,6.62521832612154,4.99386102113396,3.95167272791204,5.92511975787862,6.1328724546771,5.0636646528907,6.99320481006457,5.4425079621347,6.76836527073429,7.97412588718656,6.89051951221625,5.3486695396648,4.87824413445093,9.45101511298674,5.51342316536537,5.70260327722079,4.45218592994647,7.71432455545152,7.1044045553678,9.02892889504685,7.18883359855287,4.69859424926925,8.60646937458928,8.30882380738,5.80711746818336,4.38687619186043,7.02938446350502,7.5712063900971,8.41830301897043,3.97914909714947,6.31937650658374,10.031105324896,11.0738277629258,3.94116799407188,6.85930083842767,4.51785569736778,3.70030455990546,7.3578127906391,7.32045971673217
"TCGA-02-2470",7.81878313978103,3.89368545934085,4.21544723788143,6.75780056960617,4.77185433827142,5.2193505289546,8.35837379725228,5.14088717314411,7.99107259123833,6.44933734056793,5.19059875365236,4.52977320156795,6.06966298518912,6.12807505558089,4.80978500379853,4.6208672825127,5.85557825994569,6.38264856307309,8.75656965797732,6.17738242965603,5.71786256083084,5.45390911213132,5.03216144706648,5.8923664177078,5.63743536262748,5.37179737867691,7.57980102244986,7.51340027325073,9.09638428664,6.94782364730304,4.49772955329345,7.96404405890482,9.1469718007624,5.38218348585723,4.32256745348325,9.60798989898112,4.65674322323206,8.00836929050945,3.93709647155397,6.22169405190829,8.12723380908393,9.64699458030642,4.09471077018774,7.06952270095355,4.33970119836915,4.4728560338259,6.06989026258389,8.07461302783387
"TCGA-06-0122",7.58826033688517,4.27125470124341,4.74051514229155,7.30316938796444,4.97358071373639,5.01639396116877,8.93350913114389,4.89976809555296,6.90509195807036,6.88926572610281,4.87021108532808,4.38180102068647,5.90649621988818,6.11470806476344,4.60331642106808,6.09349284249674,5.50090799534183,7.71535259554379,7.25163713083962,6.1969513032803,8.23755571986233,5.44266601963779,5.41372772997922,6.6831809656856,5.26945959468699,4.97391409434702,7.19509821544395,6.83174551965672,8.57046908301186,6.54404917087779,4.15830997693973,8.03924104088309,8.87067325580338,5.52880771871628,4.5449084394929,8.86239483092277,4.60100086568373,8.25504716071388,4.14877353398418,7.26106104643797,9.97607416535606,9.23658169260848,4.12609961691629,6.46511422635113,4.68398609487267,4.10168223088194,6.21676835277258,6.17206822345047
"TCGA-06-0124",7.56955978232658,3.98941814849204,4.51010991310536,6.89992313067981,5.20149713596115,5.23132051401271,8.2527749919524,5.25387488926812,7.6425771727544,6.32442861817838,4.66385720002752,4.53421773426553,5.83388183805268,6.80145388925153,4.48410377237826,5.25590914043449,6.33789243856194,5.79530427514195,7.89009112558885,6.9738394910353,7.39868159543767,5.37838429755592,4.00664932487885,5.8167032253913,4.88104457941814,6.36419037317927,7.56462458368449,7.05954977061202,8.8316281115086,6.36841027706901,4.79442191516868,8.16248998399671,8.9468075993903,4.93291514735915,4.45853190015215,9.63663955443725,4.54840437979357,7.77305688541576,3.92126955502055,5.96849251790159,7.92639780209012,9.24813880128678,4.37601924218263,6.73123232002738,4.66451488412014,3.90287851421707,5.91304452046039,5.79157150183757
"TCGA-06-0125",7.36646322895835,4.34543326705947,4.44476025947393,6.80594948341542,5.18707761116353,4.82953267833677,8.55382495868561,5.46508370231325,7.43315739030998,6.8485206515206,4.42808524584672,4.2527660427399,5.75701637532625,4.97319101526654,4.52138789375757,6.78938379424296,4.53638264225271,5.17498235353919,7.91635139007245,6.77510376190844,9.67579663022961,5.35127464197818,4.16961280004382,6.29077204199222,5.17182198358127,4.53932106484087,7.24184775223585,6.91181345700083,8.85513214413176,6.37418846720994,4.32486133638062,8.17882606111802,8.01686030386442,5.45786015497834,4.68951891896072,9.13507280074276,4.49407331119411,8.05568706815384,4.32980550632344,6.59321853583795,9.35236354170652,9.60936160158463,4.13379177647843,6.58123932105825,4.38856851020011,4.0957817095815,6.70011730725355,6.26658711637892
"TCGA-06-0126",7.27495350731226,4.23274822378316,4.46051638996929,6.6542454085989,4.88666772424578,4.54120771417262,9.1387828512403,5.26794280126365,7.81468806951102,6.951924084676,4.64808247269186,4.11870349439323,6.01876015840832,5.03156306715437,4.60405840680879,6.61271622025264,5.35499237846886,7.03125309727888,7.05766887294346,6.67784510666369,9.40091069811528,5.20749578659577,4.60582864430913,5.63710972709679,4.76828015222075,4.90470159161137,6.45122922591416,6.45369175486488,8.85202880847018,6.28237497263024,4.21135437089131,8.3374244109254,8.02609703402434,5.5846985405336,4.43833412174808,9.68203637155019,4.49676614617402,8.40749495190118,3.96772107715584,6.43053371322974,9.56950230184633,9.27464204561782,4.47793584774224,6.49077279378671,4.48941717311498,3.90509866226572,6.1392777935474,6.45808389613242
"TCGA-06-0128",6.25075900710713,4.19049838501391,4.74509325862198,6.36464071614093,4.67716023806065,4.91228826226168,8.90740672639826,5.09927412155903,6.050468955398,6.10196269097365,5.02273336478589,4.32823609139255,5.72227566359943,6.62919495427894,4.49000054858121,6.00049195847575,5.34680343381759,5.9405075294276,7.79104551008551,6.31797547702802,5.66939418615298,4.67854501629516,8.94229256073685,5.31846461298454,5.14915169444943,4.60355979279701,8.07184939307699,5.69794810570373,8.75635474875244,6.37986073855711,4.22903514308738,8.31281151257127,8.39514211599736,5.70107374498246,4.64951110909872,7.08540989128014,7.53058874671585,9.2655915840041,4.48666957890925,7.20523334582645,7.40019293804485,12.553649330271,3.87212672109617,6.41854636136893,4.25987426307251,4.22379698306758,5.29893614006769,6.33146547750034
"TCGA-06-0129",6.96402201838739,4.07659544246084,5.25574767549785,7.82349455474146,5.28865799287244,5.21580965439377,9.78267163839982,5.76943725323026,9.08572918609512,7.18991215899974,5.02293294844399,4.35093837246396,5.82423936351128,6.52655093701132,4.68583974877722,7.35114696587156,5.80803905422159,7.12341464638565,8.7697823668303,5.82920940823271,7.45376659676526,4.69859975974796,7.79560015776765,5.16296749063745,5.55897964987049,4.59412831765276,7.34648613959313,6.21036159430937,9.64177129995206,6.62152540413584,4.60469732235739,8.75081481521748,8.74838584121072,5.86177811508121,4.66373018687731,7.96769495963515,7.47292344463537,8.9538702388176,4.41134534178458,5.75487445690193,8.5429285347517,12.9307771242138,3.99525356273538,6.98094309653379,4.46936446042979,4.09000610333023,6.68377251547665,7.25024506332654
"TCGA-06-0130",7.18522510021818,4.11941769524825,4.23180418996095,6.174566409454,4.76561763961924,5.62775573068769,8.01347858262489,5.00015890321801,7.16495172056954,5.8947712376376,4.65500098502622,5.11788719393498,5.75958529057495,5.90788903354924,4.7281347614777,4.04414627628268,6.32667470389746,5.61178398845165,8.39559309915397,7.58959937534824,5.11243855225422,4.60894758903614,3.97662914726731,6.2098846522381,4.6820251161167,7.4277619384579,7.20072353156623,6.91667712355396,8.7930059983211,6.71673532778438,4.74511388306227,7.76074380081604,8.9505590116769,5.09257392303503,4.36773214136444,7.86875644128977,8.38021359114979,8.1437640351945,4.30138050461949,6.15492129977969,5.68035190385517,10.385443913617,4.18765260739005,6.40894178513044,4.57957559048007,3.64488419712954,5.84843010402631,5.56682843652545
"TCGA-06-0137",7.26609721912457,4.38579471689848,4.34248695000545,6.20926971412619,4.76075692012868,4.68860650386009,8.17304365832469,5.18988487535082,7.24268667051349,6.24601733937804,4.86507754969512,4.21301438224432,5.70710926358708,5.93550942344562,4.79924342423671,5.27956762827929,4.89631768937903,6.69766338816664,6.74673034041693,6.29134173200223,8.33398773842626,5.00880315150583,5.07789331349237,6.08830204765076,5.26003196927969,5.19165556070057,6.71515041117082,6.7809598691275,7.91229702812866,6.25783248415559,4.30552433808805,7.51539875678633,7.71230572309652,5.41067469021993,4.46072619293036,9.53263840399977,4.61971901900822,8.32086861940758,4.58623698059406,4.82154845235282,8.33739901219235,9.01876256823211,4.38965832632245,6.00996956998164,4.45791328614974,3.95359331367198,5.84287338361927,6.00310407781415
